Beschreibung,Dafür,Dagegen,Endergebnis,Vorgeschlagen_von,Datum,Episode,Nummer
"Der Verlust von spontanen Interaktionen mit Fremden, da soziale Kontakte hauptsächlich auf den eigenen Haushalt und enge Freunde beschränkt sind.  Dies führt zu weniger neuen Impulsen und Anregungen.",['Nina'],[],True,Ijoma,2020-12-07,Intervallfasten und Pilze,2
"Anstatt ein Auto zu kaufen oder zu leasen, mieten Menschen Autos für einen bestimmten Zeitraum (z.B. drei Monate).  Gründe sind u.a. die Skepsis gegenüber E-Autos, hohe Preise für Neuwagen und kaputte alte Autos.",['Ijoma'],[],True,Nina,2020-12-07,Intervallfasten und Pilze,3
"Der inflationäre Gebrauch des Begriffs ""Gamechanger"" für alles Mögliche, von Produkten bis zu Ideen.  Dies spiegelt den Wunsch nach Innovation wider, ist aber oft nur eine Phrase.",['Nina'],[],True,Ijoma,2020-12-07,Intervallfasten und Pilze,4
"Menschen passen ihren Emoji-Gebrauch an den ihrer Kommunikationspartner an, um höflich zu sein oder dazuzugehören.  Dies geschieht oft unbewusst und betrifft besonders die Kommunikation mit älteren Menschen und über WhatsApp.",['Ijoma'],[],True,Nina,2020-12-07,Intervallfasten und Pilze,5
"Anglizismen werden absichtlich ungrammatisch ins Deutsche übersetzt. Dadurch soll ihre Herkunft aus dem Englischen betont und ein gewisser ""Hipness"".Faktor erreicht werden.",[],[],False,Ijoma,2020-12-07,Intervallfasten und Pilze,6
"Frauen filmen ihre männlichen Partner und fragen sie, wie oft sie an das Römische Reich denken. Die Antworten sind oft überraschend häufig und regen Diskussionen über Geschlechterrollen und die Faszination für die Antike an.",['Lars'],[],True,Nina,2023-09-25,Sind Romane besser als Klimakleber,1
"Wissensarbeiter:innen, insbesondere im digitalen Bereich, verwenden im Arbeitskontext eine Sprache, die an körperliche Arbeit erinnert (z.B. ""etwas in ein Doc packen"", ""Datei rüberschieben"").",[],['Nina'],False,Lars,2023-09-25,Sind Romane besser als Klimakleber,2
"Auf Festivals und Veranstaltungen werden zunehmend spezielle Urinale für FLINTA*-Personen angeboten, die das Urinieren im Stehen oder Hocken ermöglichen, um lange Warteschlangen und unhygienische Dixi-Klos zu vermeiden.",['Lars'],[],True,Nina,2023-09-25,Sind Romane besser als Klimakleber,3
"Moderne Autos mit Assistenzsystemen überwachen die Straße, um autonom fahren zu können. Gleichzeitig überwachen sie den Fahrer, ob er die Hände am Lenkrad hat, um im Notfall eingreifen zu können.  Das Auto überwacht also den Fahrer, der das Auto überwacht.",['Nina'],[],True,Lars,2023-09-25,Sind Romane besser als Klimakleber,4
"Frauen lachen auf Werbefotos und anderen Fotos, auf denen sie sich präsentieren, mit weit offenem Mund. Dieses Lachen soll Spontaneität, Selbstbestimmung und Unangepasstheit ausdrücken, wird aber vom Moderator als Ausdruck neuweiblicher Autonomie interpretiert.",['Lars'],[],True,Ijoma,2021-02-22,Weltrettung als Event,1
"Immer häufiger müssen Nutzer sich per Webcam identifizieren, z.B. für Online-Konten oder Carsharing. Der Moderator empfindet diesen Prozess und die damit verbundene Technologie als absurd und gegenwärtig.",['Ijoma'],[],True,Lars,2021-02-22,Weltrettung als Event,2
"Der Ausdruck ""Capitalism is a Death Cult"" oder ""White Nationalism is a Death Cult"" wird von Linken verwendet, um die Widersprüchlichkeit und Irrationalität dieser Phänomene zu beschreiben. Dies impliziert die Idee, dass diese Systeme sich selbst zerstören.",['Ijoma'],[],True,Lars,2021-02-22,Weltrettung als Event,3
"Das Adjektiv ""gewaltvoll"" wird inflationär verwendet, auch für Dinge, die nicht physisch gewalttätig sind. Der Nachweis einer tatsächlichen Gewalttat ist kaum noch nötig, um etwas als ""gewaltvoll"" zu bezeichnen.",['Lars'],[],True,Ijoma,2021-02-22,Weltrettung als Event,4
"Der Ausdruck ""Raum eröffnen"" hat eine neue Bedeutung bekommen. Früher meinte er die geistige oder spirituelle Weitung, jetzt meint er oft das Öffnen eines neuen Raumes in Clubhouse.",['Lars'],[],True,Ijoma,2021-02-22,Weltrettung als Event,5
"Lego zwingt Youtuber, die über nicht-Lego-Klemmbausteine berichten, diese als ""Klemmbausteine"" und nicht als ""Lego"" zu bezeichnen. Der Moderator sieht darin ein Phänomen der Gegenwart.",['Ijoma'],[],True,Lars,2021-02-22,Weltrettung als Event,6
"Eine neue Funktion bei Netflix, die dem Zuschauer zufällig Inhalte vorschlägt. Mangold sieht darin einen Widerspruch zur Idee des digitalen Zeitalters, in dem der Nutzer die volle Wahlfreiheit hat und dem kuratierten Fernsehen entkommt.",[],['Nina'],False,Ijoma,2020-08-31,Warum Liebe endet,1
"Eine allgemeine Angst vor dem Herbst, die über den üblichen Herbstblues hinausgeht. Pauer beobachtet, dass insbesondere Eltern mit Kitakindern, aber auch viele andere Menschen, eine diffuse Angst vor dem kommenden Herbst haben.",['Ijoma'],[],True,Nina,2020-08-31,Warum Liebe endet,2
"Menschen, die ihr Handy an einer Kordel um die Schulter tragen.  Mangold sieht es als ein neues Phänomen.",[],['Nina'],False,Ijoma,2020-08-31,Warum Liebe endet,3
"Das Wort ""Deep Dive"", was ein tiefes Eintauchen in ein Thema beschreibt, wird nun auch außerhalb des Podcast- und Journalistenjargons verwendet. Pauer sieht es als ein aufkommendes Phänomen in der Alltagssprache.",['Ijoma'],[],True,Nina,2020-08-31,Warum Liebe endet,4
"Der Zusatz ""White Privileged"" in Twitter-Profilen, neben anderen politischen Selbstbeschreibungen wie ""feminist"", ""queer"" und ""intersectional"". Mangold sieht es als ein neues Phänomen und eine ""perverse Soße"".",['Nina'],[],True,Ijoma,2020-08-31,Warum Liebe endet,5
"""Selfcare"" als Überbegriff für alles, was einem gut tut und einen reinigt, wie z.B. Weinen, Joggen oder Waldbaden.  Pauer beobachtet, dass dieser Begriff inflationär gebraucht wird.",['Ijoma'],[],True,Nina,2020-08-31,Warum Liebe endet,6
"Ein YouTube-Phänomen, bei dem Menschen anderen beim Essen großer Mengen an Lebensmitteln zusehen. Oft wird dabei auch geplaudert und über Alltägliches gesprochen.",['Nina'],[],True,Ijoma,2024-02-26,Sechs Strategien unsterblich zu werden,1
"Das übermäßige Hervorheben und Vermarkten von bestimmten Zeitabschnitten wie Adventskalender, Dry January oder Fastenzeit, verbunden mit dem Trend, negative Gedanken und Jammern zu ""fasten"".",['Ijoma'],[],True,Nina,2024-02-26,Sechs Strategien unsterblich zu werden,2
"Bei Schach-Fernsehübertragungen werden neben der Spielanalyse durch Computer auch die körperlichen Reaktionen der Spieler, wie z.B. der Puls, gemessen und visualisiert.",['Nina'],[],True,Ijoma,2024-02-26,Sechs Strategien unsterblich zu werden,3
"Anstatt kritisches Feedback zu geben, wird ""Feedforward"" in die Zukunft gerichtet formuliert, um den Empfänger nicht zu kritisieren, sondern ihn in seinen zukünftigen Handlungen zu bestärken.",[],['Ijoma'],False,Nina,2024-02-26,Sechs Strategien unsterblich zu werden,4
"Ein Stand in einem Hamburger Einkaufszentrum bietet Iris-Fotografie an. Kunden können sich ihre Iris fotografieren lassen und das Bild, oft vergrößert, als Dekoration oder Geschenk verwenden. Lars sieht darin ein Zeichen der individualisierten Gesellschaft.",['Nina'],[],True,Zuhörer/Publikum/Gast,2024-06-17,Warum wollt ihr alle an die Eliteuni,1
"Nina beschreibt ein weit verbreitetes Gefühl der Enttäuschung darüber, dass die bisherigen Ernährungstrends, insbesondere das Intervallfasten und der Konsum von Haferflocken, nun als ungesund dargestellt werden. Auslöser ist ein Artikel über eine ""Glukose-Influencerin"", die Haferflocken mit Pasta gleichsetzt.",[],['Lars'],False,Nina,2024-06-17,Warum wollt ihr alle an die Eliteuni,2
"Lars beobachtet, dass Luxusmarken wie Chanel bei Regen ihre Einkaufstüten zusätzlich in Plastikfolie verpacken, um die designten Papiertüten zu schützen. Er sieht darin ein Zeichen der Oberflächlichkeit der Luxusindustrie und des Fokus auf das Äußere.",['Nina'],[],True,Lars,2024-06-17,Warum wollt ihr alle an die Eliteuni,3
"Rike beschreibt eine App, die Selbsttests zur mentalen Gesundheit anbietet und den Nutzern einen ""Trauma-Score"" zuweist. Nina sieht darin eine Gamification von Mental Health, die den aktuellen Trend widerspiegelt.",[],['Lars'],False,Zuhörer/Publikum/Gast,2024-06-17,Warum wollt ihr alle an die Eliteuni,4
"Der Hinweis darauf, dass ein Essen, das man gerade bestellt hat (insbesondere im Restaurant und wenn es teuer/exklusiv ist), eigentlich ein ""Arme-Leute-Essen"" sei oder gewesen sei.  Oft mit dem Wort ""eigentlich"" versehen.",[],['Ijoma'],False,Lars,2022-02-07,Wir wollten nie wieder einsam sein,1
"Der Begriff ""ehrlicherweise"" wird verwendet, um positive Aussagen einzuleiten und oft Eitelkeit oder Selbstlob zu kaschieren. Es dient quasi als präventive Entschuldigung für etwas, das als anstößig empfunden werden könnte.",['Lars'],[],True,Ijoma,2022-02-07,Wir wollten nie wieder einsam sein,2
"Die Bezeichnung von Hotels/Unterkünften als ""Hideaway"", besonders im Kontext von Social Media und der Darstellung von luxuriösem Minimalismus. Der Begriff betont Abgeschiedenheit und Exklusivität.",[],['Ijoma'],False,Lars,2022-02-07,Wir wollten nie wieder einsam sein,3
"Die zunehmende Verwendung von Texten in der Produktpräsentation, insbesondere im Einzelhandel (am Beispiel von Uniqlo), um Geschichten zu erzählen und Narrativität zu schaffen. Dies steht im Kontrast zum Iconic Turn, der eine Dominanz der Bilder propagierte.",[],['Lars'],False,Ijoma,2022-02-07,Wir wollten nie wieder einsam sein,4
"Das Verwenden von Wörtern, die das Gegenüber irritieren, und das anschließende Einbetten dieser Wörter, indem man erklärt, dass man sie aus einer aufgeklärten Position heraus verwendet.  Als Beispiel wird das Wort ""Assi-Schlampe"" im ""empowernden Sinne"" genannt.",[],['Lars'],False,Ijoma,2022-10-31,Selbst trans ist zu binär,1
"Halloween als wachsendes, gegenwärtiges Phänomen in Deutschland.  Es wird argumentiert, dass Halloween immer mehr an Bedeutung gewinnt und bald sogar Weihnachten in seiner Wichtigkeit übertreffen könnte, insbesondere bei Kindern.",['Ijoma'],[],True,Lars,2022-10-31,Selbst trans ist zu binär,2
"Die zunehmende Verwendung des Wortes ""zutiefst"" in Verbindung mit dem Wort ""rassistisch"", um die Bedeutung zu verstärken und gesellschaftliche Probleme zu adressieren.  Es wird argumentiert, dass die Worte allein nicht mehr genug Gewicht haben.",['Lars'],[],True,Ijoma,2022-10-31,Selbst trans ist zu binär,3
"Eine besondere Art, einen Buchabschnitt auf Instagram zu teilen, indem ein Foto vom Buch gemacht, dieses Foto auf dem Handy geöffnet, ein Screenshot vom Foto auf dem Bildschirm gemacht und dieser Screenshot dann zugeschnitten und gepostet wird.",['Ijoma'],[],True,Lars,2022-10-31,Selbst trans ist zu binär,4
"Im Kontext von Personalmangel und zunehmender Automatisierung entwickelt sich ein schlechtes Gewissen, wenn man ""klassische"" Kassen mit Personal benutzt, statt selbst zu scannen.  Statt Automatisierung als Arbeitsplatzabbau zu kritisieren, wird sie als notwendig und effizient wahrgenommen, um Personal für andere Aufgaben freizusetzen.",[],['Nina'],False,Lars,2023-01-09,Macht Vollzeit unser Leben kaputt,1
"Im Kontext der Energiekrise und des Klimawandels entstehen neue soziale Normen und Unsicherheiten rund ums Heizen.  Es entwickelt sich ein Bewusstsein dafür, wie man heizt,  wann man heizt, und wie man mit Heizfragen bei Gästen umgeht.",[],['Lars'],False,Nina,2023-01-09,Macht Vollzeit unser Leben kaputt,2
"Die Metapher der Glaszwiebel aus dem Film ""Glass Onion"" beschreibt die Gegenwart als scheinbar komplex, aber in Wirklichkeit durchsichtig und banal. Diese Durchsichtigkeit bezieht sich auf politische und ökonomische Systeme und Entwicklungen, die so tun als wären sie komplex, sind aber im Kern ganz simpel.",[],['Nina'],False,Lars,2023-01-09,Macht Vollzeit unser Leben kaputt,3
"Konversationen auf WhatsApp oder Instagram werden durch Liken der letzten Nachricht des Gesprächspartners oder durch ein Emoji beendet. Dies signalisiert, die Nachricht gelesen zu haben, ohne inhaltlich antworten zu wollen.",['Lars'],[],True,Zuhörer/Publikum/Gast,2023-01-09,Macht Vollzeit unser Leben kaputt,4
"Der Begriff ""Killer-App"" wird im Kontext neuer Technologien, Forschungsergebnisse oder Patente verwendet und bezeichnet die eine Anwendung, die alle anderen vom Markt verdrängt und sich durchsetzt.  Es impliziert eine aggressive Marktstrategie und den Fokus auf eine singuläre, alles dominierende Anwendung.",['Ijoma'],['Lars'],False,Ijoma,2021-06-01,Das ist ja wohl der Oberhummer,1
"Im Kontext von Corona-Apps wie der Luca-App beschreibt Weisbrod das Phänomen, sich nach dem Besuch von Geschäften nicht mehr von der App abzumelden. Dies wird auf die Gewohnheit zurückgeführt, sich auch im echten Leben, wie z.B. mit Bierdeckeln in ländlichen Cafés, nicht abzumelden.",['Ijoma'],[],True,Lars,2021-06-01,Das ist ja wohl der Oberhummer,2
"Die Zunahme von Bringdiensten, die Supermarktprodukte und Lebensmittel innerhalb kürzester Zeit liefern (z.B. Gorillas). Die Frage ist, wie weit diese Entwicklung noch gesteigert wird und ob die Lieferzeiten immer kürzer werden.","['Lars', 'Ijoma']",[],True,Nina,2021-06-01,Das ist ja wohl der Oberhummer,3
"Die Verwendung von Venezuela als abschreckendes Beispiel für die Folgen von Verstaatlichungen und sozialistischer Politik. Mangold beobachtet, dass der Name Venezuela in den letzten Monaten vermehrt als Argument gegen solche Politiken verwendet wird.",['Lars'],[],True,Ijoma,2021-06-01,Das ist ja wohl der Oberhummer,4
"Der Begriff ""BRD Noir"" beschreibt eine Ästhetik und Stimmung, die an die alte Bundesrepublik erinnert, aber auf eine bedrückende, düstere Weise. Der Begriff wird in sozialen Medien und im intellektuellen Diskurs verwendet.",[],['Ijoma'],False,Lars,2021-06-01,Das ist ja wohl der Oberhummer,5
"Die Praxis, sich Notizen zu machen, während man lange Sprachnachrichten von Freunden oder Bekannten abhört. Dies wird als Folge von Corona und der damit verbundenen Intensivierung von Sprachnachrichten-Freundschaften gesehen.","['Ijoma', 'Lars']",[],True,Nina,2021-06-01,Das ist ja wohl der Oberhummer,6
"Ijoma beschreibt die Situation, dass er täglich von Spendensammlern am Berliner Hauptbahnhof angesprochen wird und sich durch deren scheinbar empathische Ansprache emotional erpresst fühlt, ein Gespräch führen oder spenden zu müssen, obwohl er keine Zeit oder Lust dazu hat. Er empfindet diese erzwungene Interaktion als ein Phänomen der Gegenwart.",['Lars'],[],True,Ijoma,2023-03-20,Ich bin doch selber nur Software,1
"Lars stellt den Jeep Cherokee XJ als ein wiederentdecktes Kultauto in der Gegenwart vor. Er argumentiert, dass dieses ältere Fahrzeugmodell in bestimmten urbanen Milieus vermehrt auftaucht und so zum Gegenwartsphänomen wird.",['Ijoma'],[],True,Lars,2023-03-20,Ich bin doch selber nur Software,2
"Ijoma beschreibt seine Erfahrung in einem mexikanischen Kochkurs, wo er vermehrt Mutter-Kind-Paare beobachtete, die als Teams zusammenarbeiteten. Er sieht darin ein Zeichen für ein verändertes Familienverständnis und somit ein Phänomen der Gegenwart.",['Lars'],[],True,Ijoma,2023-03-20,Ich bin doch selber nur Software,3
"Lars argumentiert, dass Zahnseidesticks (kleine Plastikstäbchen mit aufgespannter Zahnseide) ein Zeichen der Gegenwart sind, da sie in einer aktuellen Serie verwendet werden, anstatt der klassischen Zahnseide. Er sieht darin eine subtile Veränderung alltäglicher Routinen.",[],['Ijoma'],False,Lars,2023-03-20,Ich bin doch selber nur Software,4
"Eine Meinung, die mit wenig Sachkenntnis, aber dafür mit umso mehr moralischer Selbstgewissheit vorgetragen wird.  Oft provokant und unerwartet, eher negativ konnotiert.",['Lars'],[],True,Ijoma,2020-11-23,Schluss mit lustig,1
"Kisten in bürgerlichen Stadtteilen, in denen Dinge zum Verschenken angeboten werden.  Symbolisieren die Verzweiflung des Besitzbürgertums mit der Wegwerfgesellschaft und den Wunsch nach einem bewussteren Umgang mit Gegenständen.",[],['Ijoma'],False,Lars,2020-11-23,Schluss mit lustig,2
"Cis-Frauen, die sich selbst als schwul bezeichnen und nur mit schwulen Männern Sex haben wollen. Eine neue Form der sexuellen Orientierung und des Begehrens.",[],['Lars'],False,Ijoma,2020-11-23,Schluss mit lustig,3
"Ein Begriff aus der Unternehmensberatung, der Punkte bezeichnet, an denen es in einer Organisation oder einem Projekt Schwierigkeiten gibt. Müssen angesprochen werden, um ein Unternehmen oder Projekt voranzubringen.",['Ijoma'],[],True,Lars,2020-11-23,Schluss mit lustig,4
"Eine Aussage, die getätigt wird, wenn man trotz (oder gerade wegen) heftiger Kritik von beiden Seiten des politischen Spektrums überzeugt ist, richtig gehandelt zu haben.",['Lars'],[],True,Ijoma,2020-11-23,Schluss mit lustig,5
"Anstatt die Weckzeit einzustellen, programmiert man, wann man einschlafen will, damit das Smartphone rechtzeitig vor dem Schlafen gehen Signale sendet und so den Schlafrhythmus reguliert.  Ein Beispiel für Life-Coaching-Trends und neue Smartphone-Funktionen.",['Ijoma'],[],True,Lars,2020-11-23,Schluss mit lustig,6
"Im Dating-Kontext wird ""emotional verfügbar"" als neue Formel verwendet, um sich als attraktiv darzustellen und die Bereitschaft zu tiefergehenden Beziehungen zu signalisieren. Es markiert einen Bruch mit der vorherigen Generation der Beziehungsunfähigen.",[],['Ijoma'],False,Nina,2023-07-24,Kann der Tod uns Glück bringen,1
"Es gibt eine Tendenz, alles Mögliche, von Staub bis hin zu Exkrementen, in Büchern und anderen Medien zu rehabilitieren und deren Wichtigkeit hervorzuheben.  Der Mensch wird dabei jedoch ausgespart und bleibt weiterhin negativ konnotiert.",['Nina'],[],True,Ijoma,2023-07-24,Kann der Tod uns Glück bringen,2
"In Kirchen werden Weihwasserspender eingesetzt, die Desinfektionsmittelspendern ähneln. Dies wird als ein Überbleibsel der Corona-Pandemie interpretiert.",['Ijoma'],[],True,Nina,2023-07-24,Kann der Tod uns Glück bringen,3
"In Anzeigen für Ferienwohnungen findet sich die Formulierung ""Kleines Haus für liebe Menschen"". Diese Formulierung wirkt überdeterminiert und versucht, durch eine Selbstverkleinerung und den Appell an ""liebe Menschen"" eine bestimmte Klientel anzuziehen.",[],['Nina'],False,Ijoma,2023-07-24,Kann der Tod uns Glück bringen,4
"Eine neue Form in sozialen Medien, die mehr Spontaneität und Authentizität zeigen soll.  Anders als bei Instagram, wo alles perfekt inszeniert ist, sollen ""Reals"" den ungekünstelten Lebensvollzug einfangen. Dadurch wird aber Künstlichkeit als Natürlichkeit hergestellt.",['Nina'],[],True,Ijoma,2023-02-06,Herabschauen war gestern,1
"Das öffentliche Eingeständnis, dass vorherige Darstellungen in sozialen Medien nicht der Wahrheit entsprachen (""fake"" waren). Dieses Bekenntnis dient aber nicht dem Auslöschen der Vergangenheit, sondern einer neuen Form der Selbstvermarktung und dem Aufbau einer neuen Authentizität.",['Nina'],[],True,Ijoma,2023-02-06,Herabschauen war gestern,2
"Das Wort ""Aktivisti"" wird von Aktivist:innen, insbesondere im Umfeld von Lützerath, verwendet. Es scheint eine neue Art des Genderns zu sein, bei der ein I an das Wort angehängt wird, ohne dass eine eindeutige Gender-Logik erkennbar ist.",['Ijoma'],[],True,Zuhörer/Publikum/Gast,2023-02-06,Herabschauen war gestern,3
"Der vermehrte Gebrauch des Wortes ""nährend"" im Kontext von Achtsamkeit, Yoga und Ernährungsumstellung. Es soll einen Gegenbegriff zu Leistungssteigerung und Muskelaufbau darstellen und eher einen sanften, natürlichen Kreislauf beschreiben.",['Ijoma'],[],True,Nina,2023-02-06,Herabschauen war gestern,4
Lars beobachtet vermehrt chinesische Autos der Marke Lynk & Co. auf deutschen Straßen. Diese Elektro-SUVs werden vor allem über digitale Vertriebskanäle an junge Menschen vermarktet.,[],['Ijoma'],False,Lars,2022-10-17,Warum Prometheus stolz auf Windräder wäre,1
"Viele deutsche Schauspieler schneiden sich eine kleine Haarsträhne ab, um Solidarität mit den protestierenden Frauen im Iran zu zeigen.  Dies soll ein Zeichen gegen die Unterdrückung von Frauen im Iran sein.",['Lars'],[],True,Ijoma,2022-10-17,Warum Prometheus stolz auf Windräder wäre,2
"Lars beobachtet, dass seit etwa fünf Jahren politische Phänomene, vor allem im Kontext von Rechtspopulismus, mit der Begrifflichkeit der Kränkung analysiert werden. Er sieht dies als ein neues Phänomen.",[],['Ijoma'],False,Lars,2022-10-17,Warum Prometheus stolz auf Windräder wäre,3
"Auf Twitter und in anderen digitalen Diskursen wird die Formulierung ""Wenn"" (oder ""When"") gefolgt von einem Substantiv verwendet, um Begeisterung oder Zustimmung auszudrücken, oft in Bezug auf Popkultur.  Dies sei ein bewusst ungrammatischer Sprachgebrauch.",['Lars'],[],True,Ijoma,2022-10-17,Warum Prometheus stolz auf Windräder wäre,4
"Der Begriff ""anekdotische Evidenz"" wird verwendet, um Beobachtungen oder Geschichten zu beschreiben, die als Beweis für eine Behauptung angeführt werden, obwohl sie keine statistisch relevanten Daten darstellen.  Er wird im Journalismus, insbesondere in Podcasts, immer häufiger verwendet, obwohl er in traditionellen Medien wie Zeitungsartikeln ungebräuchlich wäre.","['Lars', 'Nina']",[],True,Ijoma,2022-05-16,Der große Lauschangriff,1
"Bei Twitter wird unter Fotos immer häufiger der ALT-Text (Alternativtext/Bildbeschreibung) angezeigt.  Dieser Text dient dazu, den Bildinhalt für sehbehinderte oder blinde Menschen zugänglich zu machen, deren Software den Text vorlesen kann.","['Lars', 'Ijoma']",[],True,Nina,2022-05-16,Der große Lauschangriff,2
"In der Beschreibung von Kunstwerken, Büchern oder anderen Medien wird zunehmend das Verb ""verhandeln"" anstatt ""behandeln"" oder ""handeln"" verwendet.  Dies suggeriert eine Vielstimmigkeit und den Diskurscharakter des Themas.","['Ijoma', 'Nina']",[],True,Lars,2022-05-16,Der große Lauschangriff,3
"Silent Meditation auf Clubhouse.  Nutzer treffen sich in einem Raum auf Clubhouse und meditieren gemeinsam schweigend, während sie digital miteinander verbunden sind. Ijoma beschreibt es als eine neue Stufe der digitalen Sophistication und eine Art unsichtbare Kirche.",[],['Lars'],False,Ijoma,2021-03-22,Liegt die Zukunft auf dem Land,1
"Der unangenehme Corona-Schnelltest, bei dem ein Stäbchen tief in die Nase eingeführt und gedreht wird. Lars beschreibt die neue und unangenehme körperliche Erfahrung und das damit verbundene neue Gefühl.",['Ijoma'],[],True,Lars,2021-03-22,Liegt die Zukunft auf dem Land,2
"Durch die vielen Paketabholstationen müssen weniger Menschen im Postamt Pakete abholen, wodurch die Schlangen vor Postämtern kürzer geworden sind. Ijoma argumentiert, dass man dadurch schneller bedient wird, wenn man keine Pakete, sondern z.B. Briefmarken kaufen möchte.",['Lars'],[],True,Ijoma,2021-03-22,Liegt die Zukunft auf dem Land,3
"Während PowerPoint-Präsentationen in manchen Bereichen durch Handouts mit anschliessender Diskussion abgelöst wurden, erlebt das Prinzip der PowerPoint in Instagram Posts ein Revival.  So werden z.B. Informationen in Form von mehreren Bildern hintereinander präsentiert, die durchgeswiped werden können.",['Ijoma'],[],True,Lars,2021-03-22,Liegt die Zukunft auf dem Land,4
"Non-Fungible Tokens. NFTs ermöglichen es, digitale Güter (z.B. Kunstwerke, Momente von Sportereignissen) einzigartig und handelbar zu machen. Ijoma beschreibt die Technologie und ihre Auswirkungen auf den Kunstmarkt und die Influencer-Kultur.",['Lars'],[],True,Ijoma,2021-03-22,Liegt die Zukunft auf dem Land,5
"Das Phänomen, dass Leute sich Inhalte von Personen ansehen, lesen oder anhören, die sie hassen oder dumm finden. Lars sieht das als ein weit verbreitetes Hobby, das besonders die Gegenwart prägt.",['Ijoma'],[],True,Lars,2021-03-22,Liegt die Zukunft auf dem Land,6
"Die Übernahme von TikTok-Features wie Kurzvideos (Reels) durch etablierte Social-Media-Plattformen wie Instagram, um mit der Konkurrenz mitzuhalten. Dies führt zu absurden Konsequenzen, wie z.B. Screenshots von Twitter-Witzen, die als Reels mit animierten Emojis ""aufgepeppt"" werden, um den Algorithmus auszutricksen.",['Nina'],[],True,Lars,2022-10-03,Warum trägt eine 16-Jährige nur einen Muschel-BH,1
"Die Diskussion um die Spielbarkeit des sexistischen Sommerhits ""Layla"" auf dem Oktoberfest führt zu unbeholfenen Tischgesprächen, in denen (meist männliche) Wiesnbesucher ihre Haltung zu dem Lied abklären, um nicht als Trampel dazustehen und/oder die Damen am Tisch zu verletzen.",['Lars'],[],True,Zuhörer/Publikum/Gast,2022-10-03,Warum trägt eine 16-Jährige nur einen Muschel-BH,2
"Der ON-Turnschuh mit seiner speziellen Sohlentechnik wird als der ultimative Seniorenschuh beschrieben, der aber gleichzeitig von Menschen unterschiedlichen Alters und unterschiedlicher sozialer Schichten getragen wird.  Er ist der E-Bike für die Füße.",['Nina'],['Lars'],False,Zuhörer/Publikum/Gast,2022-10-03,Warum trägt eine 16-Jährige nur einen Muschel-BH,3
"Die Verwendung des Wortes ""aber"" direkt nach der Formulierung ""ohne Wenn und Aber"" in einer politischen Rede, was zu Kritik führte, weil es die vorherige Aussage relativiert. Lars sieht darin ein größeres Problem mit dem Wort ""aber"" im Allgemeinen, welches durch seine Verwendung im Kontext von rassistischen Aussagen an Bedeutung verloren hat.",[],['Nina'],False,Lars,2022-10-03,Warum trägt eine 16-Jährige nur einen Muschel-BH,4
"Ijoma beobachtet einen Rückgang des Einflusses von ""Wokeness"", der sich am Beispiel von Victoria's Secret zeigt. Die Marke versuchte, ""woke"" zu werden, indem sie Body Positivity und weibliches Empowerment in den Vordergrund stellte, musste aber aufgrund sinkender Umsätze zu einer alten Vorstellung von ""Sexiness"" zurückkehren.  Ijoma sieht darin ein Zeichen eines größeren politischen Mentalitätswechsels.",[],['Nina'],False,Ijoma,2023-11-20,Wie geht achtsames ausrasten,1
"In der Selbsthilfe-Szene tritt neben dem ""inneren Kind"" nun der ""innere Jugendliche"" in den Fokus.  Nina sieht das als ein Zeichen dafür, dass der Markt für Selbsthilfe-Produkte ständig neue Konzepte benötigt. Der innere Jugendliche dient sozusagen als neues ""Futter"" für Bücher und Coachings.",['Ijoma'],[],True,Nina,2023-11-20,Wie geht achtsames ausrasten,2
"Die Energiewende wurde bisher mit Nachhaltigkeit verbunden. Jetzt gewinnt aber der Begriff ""elektrisch"" einen positiven Beiklang, der über Technologiebegeisterung funktioniert, wie das Beispiel des modifizierten BMW-Slogans zeigt. Das Wort ""elektrisch"" wird positiv aufgeladen und geht über den Nachhaltigkeitsaspekt hinaus.",[],['Nina'],False,Ijoma,2023-11-20,Wie geht achtsames ausrasten,3
"Da immer weniger Menschen freitags ins Büro gehen (durch Homeoffice etc.), verliert der Casual Friday an Bedeutung. Die starre Struktur der Arbeitswoche weicht auf.",['Ijoma'],[],True,Zuhörer/Publikum/Gast,2023-11-20,Wie geht achtsames ausrasten,4
"In den USA wurde die deutsche Fenster-Kipp-Funktion als genial wiederentdeckt. Es gibt sogar einen Mitgröhl-Song darüber, der diese deutsche Technologie feiert.",[],['Lars'],False,Ijoma,2024-06-03,Wird der Nazi-Giftschrank hip,1
"Erfolgreiche deutsche BookTok-Autorinnen verlegen ihre Geschichten oft in englischsprachige Länder, z.B. in englische Internate. Verfilmungen dieser Bücher, wie ""Maxton Hall"", besetzen deutsche Schauspieler, die aber englischsprachige Namen tragen und in englischen Settings spielen.",['Ijoma'],[],True,Lars,2024-06-03,Wird der Nazi-Giftschrank hip,2
Einkaufswagen in Supermärkten stehen neuerdings ohne Chip zur Verfügung. Die zuvor notwendige Chip-Pflicht für die Nutzung von Einkaufswagen entfällt.,['Lars'],[],True,Ijoma,2024-06-03,Wird der Nazi-Giftschrank hip,3
"Das Wort ""gottlos"" wird vermehrt in den sozialen Medien und im Rap verwendet, oft als Steigerung oder Verstärkung. Es ist ein Nachfolger von Wörtern wie ""ehrenlos"".",['Ijoma'],[],True,Lars,2024-06-03,Wird der Nazi-Giftschrank hip,4
